asset_id,model_name,initial_age,current_temp,current_usage,maint_score,repairs,sync_timestamp
AST-5000,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279434
AST-5001,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279442
AST-5002,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279444
AST-5003,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279445
AST-5004,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279446
AST-5005,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279447
AST-5006,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279450
AST-5007,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279451
AST-5008,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279451
AST-5009,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279452
AST-50010,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279453
AST-50011,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279454
AST-50012,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279455
AST-50013,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279456
AST-50014,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279457
AST-50015,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279458
AST-50016,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279459
AST-50017,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279459
AST-50018,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279460
AST-50019,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279461
AST-50020,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279462
AST-50021,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279463
AST-50022,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279464
AST-50023,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279465
AST-50024,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279465
AST-50025,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279466
AST-50026,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279468
AST-50027,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279469
AST-50028,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279470
AST-50029,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279471
AST-50030,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279472
AST-50031,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279474
AST-50032,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279475
AST-50033,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279476
AST-50034,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279477
AST-50035,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279478
AST-50036,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279479
AST-50037,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279479
AST-50038,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279480
AST-50039,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279481
AST-50040,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279482
AST-50041,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279483
AST-50042,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279484
AST-50043,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279485
AST-50044,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279485
AST-50045,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279487
AST-50046,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279488
AST-50047,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279489
AST-50048,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279490
AST-50049,Dell Latitude 5440,0,38.5,10.0,10,0,2026-03-11T03:49:33.279490
